YEAR,STATE,ZIPCODE,N1,MARS2,A00100,N04470,A04470,N18425,A18425,N04800,A04800,N07100,A07100
2011,VA,24184,2042,1032,105039,638,13985,552,2653,1552,66822,635,596
2011,VA,24185,403,211,15415,47,791,39,150,287,8879,121,84
2011,VA,24201,6639,2519,251240,1181,20125,1014,3800,4572,149608,1766,1689
2011,VA,24202,5422,2730,308988,1275,34870,1126,9252,4024,197471,1664,1858
2011,VA,24210,6537,2930,321934,1498,31250,1303,6663,5004,210919,1947,1935
2011,VA,24211,4129,2138,277216,1405,35778,1257,11226,3170,193992,1266,1376
2011,VA,24216,930,395,34403,72,1151,66,375,622,20563,268,272
2011,VA,24219,3650,1709,166880,636,12185,580,3454,2679,106607,1073,1114
2011,VA,24220,260,149,10963,20,258,0.0001,0.0001,186,6760,82,93
2011,VA,24221,271,156,8973,0.0001,0.0001,0.0001,0.0001,183,4734,76,77
2011,VA,24224,2072,1054,80684,246,4343,211,979,1487,48254,551,549
2011,VA,24225,595,313,21572,42,660,41,154,428,12293,171,181
2011,VA,24226,517,269,19432,38,537,33,120,374,11254,157,170
2011,VA,24228,2505,1277,108647,270,4786,251,1439,1845,68173,759,861
2011,VA,24230,3205,1537,131313,332,6049,308,1733,2269,80699,920,1007
2011,VA,24236,1192,533,44802,183,3809,165,687,855,25694,328,311
2011,VA,24237,395,177,11935,0.0001,0.0001,0.0001,0.0001,256,6152,107,101
2011,VA,24239,193,97,6428,0.0001,0.0001,0.0001,0.0001,136,3575,62,50
2011,VA,24243,813,410,32273,110,1838,97,410,569,19054,243,275
2011,VA,24244,1910,968,72241,238,4196,214,865,1361,41958,550,597
2011,VA,24245,350,185,12357,40,574,36,136,231,6971,101,102
2011,VA,24248,897,455,30797,128,2104,111,458,598,16851,238,214
2011,VA,24250,419,229,14795,34,476,30,115,304,8306,136,122
2011,VA,24251,3560,1852,155326,575,11657,514,2795,2567,93997,1102,1130
2011,VA,24256,1097,596,43255,78,1365,75,321,761,26219,315,371
2011,VA,24258,585,308,23559,82,1484,74,324,427,13908,177,176
2011,VA,24260,1902,1012,73220,164,3062,155,757,1328,43083,567,610
2011,VA,24263,2269,1124,91400,362,6594,337,1517,1630,54639,665,688
2011,VA,24265,257,118,9624,0.0001,0.0001,0.0001,0.0001,174,5730,79,83
2011,VA,24266,3855,1946,181413,764,14357,711,3572,2937,116713,1166,1285
2011,VA,24270,186,102,5984,27,380,22,48,124,2886,52,48
2011,VA,24271,981,533,37336,145,2269,129,424,712,21407,312,328
2011,VA,24272,170,99,6226,0.0001,0.0001,0.0001,0.0001,119,3531,52,48
2011,VA,24273,2462,997,101570,330,5965,313,1705,1800,63940,700,668
2011,VA,24277,1870,832,69720,233,4327,207,942,1214,41044,503,512
2011,VA,24279,1677,876,70503,181,3057,173,717,1251,43042,539,616
2011,VA,24280,484,286,23744,115,2104,107,524,380,15112,159,170
2011,VA,24281,795,394,27970,85,1722,74,348,536,15208,241,238
2011,VA,24282,218,97,5475,0.0001,0.0001,0.0001,0.0001,103,2457,45,38
2011,VA,24283,1033,511,41999,126,2418,115,598,728,25465,291,312
2011,VA,24290,645,287,24385,97,1582,82,329,469,14363,173,166
2011,VA,24292,195,96,5348,0.0001,0.0001,0.0001,0.0001,131,2503,54,40
2011,VA,24293,4114,1977,210302,774,16039,707,4534,3150,139252,1320,1474
2011,VA,24301,5694,2283,220366,1055,18537,959,3807,4108,132507,1503,1444
2011,VA,24311,847,342,27693,87,1421,73,216,637,15042,235,191
2011,VA,24312,861,418,29500,99,1569,89,262,613,16213,228,226
2011,VA,24313,401,204,13662,31,390,28,63,288,7538,127,117
2011,VA,24314,588,298,26179,97,1731,91,401,455,16511,175,185
2011,VA,24315,1300,674,60833,249,5306,227,1191,1032,38245,373,399
2011,VA,24317,1341,699,44439,219,3510,197,735,907,23263,396,384
2011,VA,24318,234,118,10356,38,633,34,101,175,6448,63,76
2011,VA,24319,3049,1459,115710,521,9761,473,1756,2254,65520,947,959
2011,VA,24323,292,141,10326,48,779,44,125,211,5755,84,83
2011,VA,24324,906,484,45099,264,5122,235,1081,725,28721,274,325
2011,VA,24325,404,214,14803,66,1134,57,158,304,8325,116,104
2011,VA,24326,439,226,15676,89,1648,77,245,308,8110,101,99
2011,VA,24328,729,407,31431,167,3309,150,754,550,17957,178,168
2011,VA,24330,1271,602,39032,153,2631,136,372,875,19492,305,266
2011,VA,24333,7124,3190,263442,1230,23298,1113,4639,4898,147741,1979,1901
2011,VA,24340,2221,1055,84517,372,7195,336,1200,1616,48082,649,611
2011,VA,24343,3712,1775,141081,641,11533,555,2248,2702,81164,1077,1105
2011,VA,24347,747,372,30189,165,2897,146,506,567,17823,237,252
2011,VA,24348,1535,746,55865,277,5438,232,817,1068,30876,415,393
2011,VA,24350,493,231,15790,57,877,53,144,356,8223,135,115
2011,VA,24351,264,126,8267,32,444,26,80,171,4245,61,51
2011,VA,24352,391,205,13818,68,1283,59,187,274,7263,102,104
2011,VA,24354,6083,2573,234230,1017,19784,905,4118,4286,138335,1631,1678
2011,VA,24360,2447,1181,92218,402,6604,369,1286,1777,53607,726,783
2011,VA,24361,1981,956,78709,337,6660,301,1286,1454,46303,560,559
2011,VA,24363,521,273,17314,78,1491,64,181,370,9225,155,128
2011,VA,24366,432,220,18575,85,1503,77,298,327,11303,122,133
2011,VA,24368,2160,1031,84734,388,6693,351,1228,1626,49369,659,734
2011,VA,24370,2405,1160,84584,259,4479,229,828,1708,46593,652,631
2011,VA,24374,288,132,9537,39,778,32,110,204,4938,75,61
2011,VA,24375,650,310,21202,82,1205,67,190,435,11373,166,148
2011,VA,24377,112,66,4302,0.0001,0.0001,0.0001,0.0001,76,2495,26,26
2011,VA,24378,451,241,16249,77,1238,64,175,327,9083,110,98
2011,VA,24380,1051,554,44901,213,4011,195,893,774,26890,299,319
2011,VA,24381,1619,794,58331,268,4411,246,807,1204,32555,439,436
2011,VA,24382,6325,2697,283134,1450,28153,1279,6125,4702,179821,1732,1754
2011,VA,24401,16089,6421,745597,4976,96162,4432,17984,12392,470413,4778,4874
2011,VA,24413,115,60,4896,29,466,28,107,82,3006,30,21
2011,VA,24416,3648,1521,130399,741,13315,665,2201,2653,72082,1093,1114
2011,VA,24421,1703,853,80214,555,9731,497,1743,1399,49824,548,617
2011,VA,24422,2603,1101,108590,466,8683,404,1730,1910,66922,742,763
2011,VA,24426,6305,2863,275543,1192,19765,1086,4751,4880,173482,1815,1928
2011,VA,24430,662,296,22785,120,1763,109,300,477,12343,169,166
2011,VA,24431,1248,546,46376,258,4228,229,760,941,26519,365,352
2011,VA,24432,166,82,6569,37,515,31,90,126,3909,48,40
